company,ISIN,yf_ticker,sector,industry
MABION,PLMBION00016,MAB.WA,Healthcare,Biotechnology
MFO,PLMFO0000013,MFO.WA,Industrials,Metal Fabrication
ZUE,PLZUE0000015,ZUE.WA,Industrials,Infrastructure Operations
IFIRMA,PLPWRMD00011,IFI.WA,Technology,Information Technology Services
PCFGROUP,PLPCFGR00010,PCF.WA,Communication Services,Electronic Gaming & Multimedia
PANOVA,PLPANVA00013,NVA.WA,Industrials,Engineering & Construction
CAVATINA,PLCVTNH00040,CAV.WA,Real Estate,Real Estate - Development
SONEL,PLSONEL00011,SON.WA,Technology,Scientific & Technical Instruments
KINOPOL,PLKNOPL00014,KPL.WA,Communication Services,Broadcasting
SKARBIEC,PLSKRBH00014,SKH.WA,Financial Services,Asset Management
ULMA,PLBAUMA00017,ULM.WA,Industrials,Rental & Leasing Services
GENOMTEC,PLGNMTC00017,GMT.WA,Healthcare,Medical Devices
RANKPROGR,PLRNKPR00014,RNK.WA,Real Estate,Real Estate - Diversified
ODLEWNIE,PLODLPL00013,ODL.WA,Industrials,Metal Fabrication
MARVIPOL,PLMRVDV00011,MVP.WA,Real Estate,Real Estate - Development
4MASS,PL4MASS00011,4MS.WA,Consumer Defensive,Household & Personal Products
MEDINICE,PLMDNCE00016,ICE.WA,Healthcare,Medical Devices
ATENDE,PLATMSI00016,ATD.WA,Technology,Information Technology Services
MAKARONPL,PLMKRNP00015,MAK.WA,Consumer Defensive,Packaged Foods
STALPROFI,PLSTLPF00012,STF.WA,Industrials,Industrial Distribution
ALTUS,PLATTFI00018,ALI.WA,Financial Services,Asset Management
POLTREG,PLPLTRG00038,PTG.WA,Healthcare,Biotechnology
IMMOBILE,PLMAKRM00019,GKI.WA,Financial Services,Asset Management
MONNARI,PLMNRTR00012,MON.WA,Consumer Cyclical,Apparel Manufacturing
OTLOG,PLODRTS00017,OTS.WA,Industrials,Integrated Freight & Logistics
EUROTEL,PLERTEL00011,ETL.WA,Communication Services,Telecom Services
GRODNO,PLGRODN00015,GRN.WA,Technology,Electronics & Computer Distribution
SILVAIR-REGS,USU827061099,SVRS.WA,Technology,Software - Application
NANOGROUP,PLNNGRP00011,NNG.WA,Healthcare,Biotechnology
CLOUD,PLCLDTC00019,CLD.WA,Technology,Software - Infrastructure
MOSTALWAR,PLMSTWS00019,MSW.WA,Industrials,Engineering & Construction
PHOTON,NL0010391108,PEN.WA,Technology,Solar
LOKUM,PLLKMDW00049,LKD.WA,Real Estate,Real Estate - Development
QNATECHNO,PLQNTHL00017,QNA.WA,Technology,Semiconductors
LENTEX,PLLENTX00010,LTX.WA,Industrials,Building Products & Equipment
PASSUS,PLPSSUS00018,PAS.WA,Technology,Information Technology Services
MLSYSTEM,PLMLSTM00015,MLS.WA,Technology,Solar
EQUNICO,PLRESBD00032,EQU.WA,Industrials,Engineering & Construction
NEPTIS,PLNEPTS00011,YAN.WA,Technology,Scientific & Technical Instruments
IPOPEMA,PLIPOPM00011,IPE.WA,Financial Services,Capital Markets
OTMUCHOW,PLZPCOT00018,OTM.WA,Consumer Defensive,Packaged Foods
GETIN,PLGSPR000014,GTN.WA,Financial Services,Banks - Regional
IZOSTAL,PLIZSTL00015,IZS.WA,Basic Materials,Steel
IMS,PLINTMS00019,IMS.WA,Communication Services,Advertising Agencies
NTTSYSTEM,PLNTSYS00013,NTT.WA,Technology,Computer Hardware
APLISENS,PLAPLS000016,APN.WA,Technology,Scientific & Technical Instruments
SUNEX,PLSUNEX00013,SNX.WA,Technology,Solar
ROPCZYCE,PLROPCE00017,RPC.WA,Basic Materials,Building Materials
VINDEXUS,PLVNDEX00013,VIN.WA,Industrials,Specialty Business Services
ZAMET,PLZAMET00010,ZMT.WA,Basic Materials,Steel
FABRITY,PLK2ITR00010,FAB.WA,Technology,Software - Application
ESOTIQ,PLESTHN00018,EAH.WA,Consumer Cyclical,Apparel Manufacturing
INTROL,PLINTRL00013,INL.WA,Technology,Scientific & Technical Instruments
BIOMAXIMA,PLBIOMX00015,BMX.WA,Healthcare,Diagnostics & Research
DELKO,PLDELKO00019,DEL.WA,Consumer Defensive,Household & Personal Products
SANTANDER,ES0113900J37,SAN.WA,Financial Services,Banks - Diversified
ULTGAMES,PLULTGM00013,ULG.WA,Communication Services,Electronic Gaming & Multimedia
PTWP,PLPTWP000015,PTW.WA,Communication Services,Publishing
GAMFACTOR,PLGMNGF00017,GIF.WA,Communication Services,Electronic Gaming & Multimedia
3RGAMES,PLGRNKT00019,3RG.WA,Consumer Cyclical,Internet Retail
WASKO,PLHOGA000041,WAS.WA,Communication Services,Telecom Services
CORMAY,PLCMRAY00029,CRM.WA,Technology,Scientific & Technical Instruments
ONESANO,PLSKTAN00010,ONO.WA,Basic Materials,Chemicals
BIGCHEESE,PLA340200015,BCS.WA,Communication Services,Electronic Gaming & Multimedia
LENA,PLLENAL00015,LEN.WA,Industrials,Electrical Equipment & Parts
RELPOL,PLRELPL00014,RLP.WA,Industrials,Electrical Equipment & Parts
06MAGNA,PLNFI0600010,06N.WA,Financial Services,Asset Management
WIKANA,PLELPO000016,WIK.WA,Real Estate,Real Estate - Development
TRANSPOL,PLTRNSP00013,TRN.WA,Industrials,Trucking
KOMPUTRON,PLKMPTR00012,KOM.WA,Technology,Electronics & Computer Distribution
BBIDEV,PLNFI1200018,BBD.WA,Real Estate,Real Estate - Development
COALENERG,LU0646112838,CLE.WA,Energy,Thermal Coal
HYDROTOR,PLHDRTR00013,HDR.WA,Consumer Cyclical,Auto Parts
MOVIEGAMES,PLMVGMS00011,MOV.WA,Communication Services,Electronic Gaming & Multimedia
KSGAGRO,LU0611262873,KSG.WA,Consumer Defensive,Farm Products
ATLANTAPL,PLATLPL00018,ATP.WA,Consumer Defensive,Food Distribution
AIRWAY,PLAIRWY00017,AWM.WA,Healthcare,Medical Instruments & Supplies
XPLUS,PLXPLUS00013,XPL.WA,Technology,Software - Infrastructure
BOWIM,PLBOWM000019,BOW.WA,Basic Materials,Steel
KCI,PLPONAR00012,KCI.WA,Real Estate,Real Estate - Development
POLWAX,PLPOLWX00026,PWX.WA,Basic Materials,Specialty Chemicals
COMPREMUM,PLPZBDT00013,CPR.WA,Industrials,Engineering & Construction
PATENTUS,PLPTNTS00019,PAT.WA,Industrials,Farm & Heavy Construction Machinery
PEPEES,PLPEPES00018,PPS.WA,Consumer Defensive,Packaged Foods
PROCHEM,PLPRCHM00014,PRM.WA,Industrials,Engineering & Construction
PJPMAKRUM,PLPROJP00018,PJP.WA,Industrials,Engineering & Construction
ENERGOINS,PLERGIN00015,ENI.WA,Industrials,Specialty Industrial Machinery
INC,PLINCLT00015,INC.WA,Financial Services,Capital Markets
WARIMPEX,AT0000827209,WXF.WA,Real Estate,Real Estate Services
SEKO,PLSEKO000014,SEK.WA,Consumer Defensive,Packaged Foods
YARRL,PLUNMST00014,YRL.WA,Technology,Information Technology Services
HELIO,PLHELIO00014,HEL.WA,Consumer Defensive,Packaged Foods
PROTEKTOR,PLLZPSK00019,PRT.WA,Consumer Cyclical,Footwear & Accessories
APSENERGY,PLAPSEN00011,APE.WA,Industrials,Specialty Industrial Machinery
LSISOFT,PLLSSFT00016,LSI.WA,Technology,Software - Application
LESS,PLINTGR00013,LES.WA,Consumer Cyclical,Auto Parts
PGFGROUP,PLZSTAL00012,PGV.WA,Industrials,Metal Fabrication
REMAK,PLREMAK00016,RMK.WA,Industrials,Specialty Industrial Machinery
CAPITEA,PLGTBCK00297,CAP.WA,Financial Services,Credit Services
GAMEOPS,PLGMSOP00019,GOP.WA,Communication Services,Electronic Gaming & Multimedia
RAEN,PLIQPRT00017,RAE.WA,Utilities,Utilities - Renewable
VIVID,PLVVDGM00014,VVD.WA,Communication Services,Electronic Gaming & Multimedia
NOVAVISGR,PLNFI0500012,NVG.WA,Financial Services,Capital Markets
KOMPAP,PLKOMPP00017,KMP.WA,Basic Materials,Paper & Paper Products
ECBSA,PLECBDZ00013,ECB.WA,Utilities,Utilities - Regulated Electric
RENDER,PLRNDCB00011,RND.WA,Communication Services,Electronic Gaming & Multimedia
MOSTALPLC,PLMSTPL00018,MSP.WA,Industrials,Engineering & Construction
LARQ,PLCAMMD00032,LRQ.WA,Communication Services,Advertising Agencies
TESGAS,PLTSGS000019,TSG.WA,Utilities,Utilities - Regulated Gas
MIRACULUM,PLKLSTN00017,MIR.WA,Consumer Defensive,Household & Personal Products
DGA,PLDGA0000019,DGA.WA,Industrials,Consulting Services
FEERUM,PLFEERM00018,FEE.WA,Industrials,Farm & Heavy Construction Machinery
URTESTE,PLURTST00010,URT.WA,Healthcare,Biotechnology
ERG,PLERGZB00014,ERG.WA,Consumer Cyclical,Auto Parts
ALTA,PLTRNSU00013,AAT.WA,Financial Services,Asset Management
SANWIL,PLSANWL00012,SNW.WA,Consumer Cyclical,Footwear & Accessories
AGROTON,CY0101062111,AGT.WA,Consumer Defensive,Farm Products
LIBET,PLLBT0000013,LBT.WA,Industrials,Building Products & Equipment
DRAGOENT,PLDRG0000013,DGE.WA,Communication Services,Electronic Gaming & Multimedia
FOODHUB,PLPMPOL00031,FHB.WA,Consumer Defensive,Packaged Foods
BOOMBIT,PLBMBIT00010,BBT.WA,Communication Services,Electronic Gaming & Multimedia
HARPER,PLHRPHG00023,HRP.WA,Consumer Defensive,Household & Personal Products
PLAZACNTR,NL0011882741,PLZ.WA,Real Estate,Real Estate - Development
MILKILAND,NL0009508712,MLK.WA,Consumer Defensive,Packaged Foods
INTERBUD,PLINTBD00014,ITB.WA,Industrials,Engineering & Construction
SFINKS,PLSFNKS00011,SFS.WA,Consumer Cyclical,Restaurants
FASING,PLFSING00010,FSG.WA,Industrials,Metal Fabrication
BIOPLANET,PLBIOPL00013,BIP.WA,Consumer Defensive,Packaged Foods
PHARMENA,PLPHRMN00011,PHR.WA,Healthcare,Biotechnology
SKYLINE,PLSKLNW00011,SKL.WA,Financial Services,Capital Markets
DBENERGY,PLDBENR00017,DBE.WA,Industrials,Specialty Industrial Machinery
ATLANTIS,EE0000000552,ATS.WA,Financial Services,Credit Services
CELTIC,PLCELPD00013,CPD.WA,Real Estate,Real Estate - Diversified
ELKOP,EE0000000453,EKP.WA,Real Estate,Real Estate Services
TALEX,PLTALEX00017,TLX.WA,Technology,Information Technology Services
SIMFABRIC,PLSMFBC00016,SIM.WA,Communication Services,Electronic Gaming & Multimedia
CDRL,PLCDRL000043,CDL.WA,Consumer Cyclical,Apparel Retail
COMPERIA,PLCOMPR00010,CPL.WA,Communication Services,Internet Content & Information
MUZA,PLMUZA000019,MZA.WA,Communication Services,Publishing
CASPAR,PLCSPAM00017,CSR.WA,Financial Services,Asset Management
MEXPOLSKA,PLMEXPL00010,MEX.WA,Consumer Cyclical,Restaurants
STAPORKOW,PLSTPRK00019,ZUK.WA,Industrials,Specialty Industrial Machinery
EUCO,PLERPCO00017,EUC.WA,Financial Services,Insurance Brokers
BETACOM,PLBTCOM00016,BCM.WA,Technology,Information Technology Services
INTERSPPL,PLINTSP00038,IPO.WA,Consumer Cyclical,Specialty Retail
MDIENERGIA,PLNFI1000012,MDI.WA,Utilities,Utilities - Independent Power Producers
OPTEAM,PLOPTEM00012,OPM.WA,Technology,Information Technology Services
IZOLACJA,PLIZCJR00017,IZO.WA,Basic Materials,Building Materials
WOODPCKR,PLWDPCK00017,WPR.WA,Technology,Software - Infrastructure
FMG,PLTHP0000011,FMG.WA,Financial Services,Asset Management
NEXITY,PLWDMCP00013,NXG.WA,Technology,Software - Application
DIGITREE,PLSARE000013,DTR.WA,Communication Services,Advertising Agencies
PMPG,PLPEKPL00010,PGM.WA,Communication Services,Publishing
IMPERIO,PLNFI0700018,IMP.WA,Financial Services,Asset Management
KPPD,PLKPPD000017,KPD.WA,Basic Materials,Lumber & Wood Production
PRAGMAINK,PLPRGNK00017,PRI.WA,Financial Services,Credit Services
AIGAMES,PLSNTFG00017,ALG.WA,Communication Services,Electronic Gaming & Multimedia
MAXCOM,PLMXCMS00016,MXC.WA,Technology,Communication Equipment
TATRY,SK1120010287,TMR.WA,Consumer Cyclical,Resorts & Casinos
CPIEUROPE,AT0000A21KS2,CPI.VI,Real Estate,Real Estate - Diversified
MBWS,FR0000060873,MBW.WA,Consumer Defensive,Beverages - Wineries & Distilleries
